C:\Users\DELL\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\requests\__init__.py:89: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (3.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
2026-02-16 22:24:05,724 - sysid-experiment - INFO -   Sample 20: queue=92051, cpu=3.9%, mem=19.3%, io=281226
2026-02-16 22:24:16,252 - sysid-experiment - INFO -   Sample 30: queue=93600, cpu=3.4%, mem=19.4%, io=11588
2026-02-16 22:24:26,818 - sysid-experiment - INFO -   Sample 40: queue=95250, cpu=4.6%, mem=19.4%, io=323724
2026-02-16 22:24:37,284 - sysid-experiment - INFO -   Sample 50: queue=96750, cpu=3.2%, mem=19.4%, io=259049
2026-02-16 22:24:46,740 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:24:46,741 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:24:57,194 - sysid-experiment - INFO - Step 12/400: batch_size=10, poll_interval=600ms
2026-02-16 22:25:06,777 - sysid-experiment - INFO -   Sample 10: queue=101100, cpu=9.5%, mem=19.4%, io=276676
2026-02-16 22:25:17,254 - sysid-experiment - INFO -   Sample 20: queue=102750, cpu=9.8%, mem=19.4%, io=558400
2026-02-16 22:25:27,784 - sysid-experiment - INFO -   Sample 30: queue=104172, cpu=6.6%, mem=19.4%, io=441561
2026-02-16 22:25:38,358 - sysid-experiment - INFO -   Sample 40: queue=105750, cpu=4.5%, mem=19.4%, io=279705
2026-02-16 22:25:48,870 - sysid-experiment - INFO -   Sample 50: queue=107400, cpu=4.4%, mem=19.4%, io=316124
2026-02-16 22:25:57,297 - sysid-experiment - INFO -   Collected 57 samples
2026-02-16 22:25:57,297 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:26:07,734 - sysid-experiment - INFO - Step 13/400: batch_size=10, poll_interval=650ms
2026-02-16 22:26:17,196 - sysid-experiment - INFO -   Sample 10: queue=111600, cpu=0.0%, mem=19.4%, io=0
2026-02-16 22:26:27,709 - sysid-experiment - INFO -   Sample 20: queue=113205, cpu=0.0%, mem=19.4%, io=0
2026-02-16 22:26:38,181 - sysid-experiment - INFO -   Sample 30: queue=114609, cpu=7.4%, mem=19.4%, io=454402
2026-02-16 22:26:48,674 - sysid-experiment - INFO -   Sample 40: queue=116250, cpu=9.1%, mem=19.4%, io=672252
2026-02-16 22:26:59,178 - sysid-experiment - INFO -   Sample 50: queue=117750, cpu=5.5%, mem=19.4%, io=295819
