timestamp,phase,queue_length,cpu_util,mem_util,avg_latency_ms,io_write_ops,os_cpu_percent,os_mem_used_percent,gc_time_rate,write_queue_size,container_mem_pct,batch_size,poll_interval,queue_exhausted
2026-04-20T11:48:51.855596,vary_both,485866,100.52017700204141,30,67317.17426522778,52.52405645151714,93,95,7.2446974415885705,0,83.20999145507812,2036,646,False
2026-04-20T11:48:52.954980,vary_both,485866,80.93176152675741,30,68505.32099999832,135.49249963468375,81,92,6.36541944592474,0,83.35304260253906,2036,646,False
2026-04-20T11:48:54.060414,vary_both,485866,76.70927025921924,43,69176.82600000217,76.70927025921925,76,93,6.392439188268271,0,83.15811157226562,2036,646,False
2026-04-20T11:48:55.174566,vary_both,469578,36.61247758112949,20,70160.52900000011,52.68624822650341,41,93,5.357923548457974,0,83.14666748046875,2036,646,False
2026-04-20T11:48:56.288879,vary_both,469578,53.67883467950849,66,71302.35188605134,93.0433134444814,53,93,0.0,0,83.14666748046875,2036,646,False
2026-04-20T11:48:57.406126,vary_both,469578,92.46050848716368,76,71866.77300000127,127.46982723473052,100,95,5.386049038087205,0,83.19129943847656,2036,646,False
2026-04-20T11:48:58.562183,vary_both,469578,103.46926419436349,59,72441.53477013938,49.56090805948503,100,95,13.911833841258956,0,83.28208923339844,2036,646,False
2026-04-20T11:48:59.750309,vary_both,469578,93.45799809845953,50,73805.27500000283,119.32583685785458,98,96,5.84112488115372,0,83.2855224609375,2036,646,False
2026-04-20T11:49:00.873482,vary_both,453290,90.74873531092386,34,75263.375,110.71345707932713,92,94,4.537436765546194,0,83.2855224609375,2036,646,False
2026-04-20T11:49:01.977463,vary_both,453290,80.57522605576291,38,76484.24710412475,83.26106692428834,81,94,5.371681737050861,0,83.23020935058594,2036,646,False
2026-04-20T11:49:03.073816,vary_both,453290,68.7176823798777,40,76613.59299999735,80.47202278696204,63,94,4.520900156570901,0,83.25958251953125,2036,646,False
2026-04-20T11:49:04.189575,vary_both,453290,58.99125287765131,38,77722.17628094245,62.56648032478169,60,94,39.32750191843421,0,83.25958251953125,2036,646,False
2026-04-20T11:49:05.368476,vary_both,437002,66.18826602090897,46,78898.6151846789,94.55466574415567,69,95,5.157527222408492,0,83.27674865722656,2036,646,False
2026-04-20T11:49:06.490233,vary_both,437002,48.904094025101486,28,79995.50799999853,63.39419595846489,54,95,3.622525483340851,0,83.23707580566406,2036,646,False
2026-04-20T11:49:07.598608,vary_both,437002,54.09036663957782,77,80495.1685638519,65.43189512852156,51,95,0.0,0,83.29391479492188,2036,646,False
2026-04-20T11:49:08.743688,vary_both,437002,56.28868488187607,67,81702.289141451,67.01033914509057,57,95,4.467355943006038,0,83.29391479492188,2036,646,False
2026-04-20T11:49:09.874889,vary_both,437002,64.6607587415778,66,82812.0589999973,42.81590781536908,67,96,5.242764222290091,0,83.32366943359375,2036,646,False
2026-04-20T11:49:11.011723,vary_both,420714,76.08998922195308,21,83918.27000000123,137.8571569433032,85,96,8.951763437876831,0,83.35533142089844,2036,646,False
2026-04-20T11:49:12.131913,vary_both,420714,58.625988962837994,68,84492.3032475448,70.17353224339699,54,96,0.0,0,83.35533142089844,2036,646,False
2026-04-20T11:49:13.284167,vary_both,420714,63.179893305441546,52,85657.44699999758,37.37402139195134,64,96,5.339145913135906,0,83.3038330078125,2036,646,False
2026-04-20T11:49:14.385541,vary_both,420714,82.22434351216042,29,86771.4000000033,62.10562116344031,78,98,6.997816469120035,0,83.33663940429688,2036,646,False
2026-04-20T11:49:15.568280,vary_both,420714,89.92123350813176,58,87296.09041257562,47.95799120433694,96,99,5.994748900542118,0,83.44955444335938,2036,646,False
2026-04-20T11:49:16.873583,vary_both,404426,95.66015623259952,36,88666.19900000082,109.85971067337601,98,100,11.210174558507756,0,83.41712951660156,2036,646,False
2026-04-20T11:49:18.006794,vary_both,404426,112.05027910574132,36,89132.72701768423,60.54329596842475,100,100,51.50698313731658,0,83.49037170410156,2036,646,False
2026-04-20T11:49:19.123645,vary_both,404426,89.49765453763322,22,89939.84999999662,168.25559053075048,90,93,4.4748827268816616,0,83.29086303710938,2036,646,False
